UniProtID,GeneName,Class,isInMatrisome,Division,Category,probability
Q07020,RPL18,nonECM,No,NULL,NULL,0.654040404
P53708,ITGA8,ECM,No,NULL,NULL,0.664181818
Q8N264,ARHGAP24,nonECM,No,NULL,NULL,0.63010101
P40200,CD96,ECM,No,NULL,NULL,0.792767677
O14936,CASK,nonECM,No,NULL,NULL,0.857979798
O14910,LIN7A,nonECM,No,NULL,NULL,0.691414141
Q12864,CDH17,ECM,No,NULL,NULL,0.721272727
Q9BQI0,AIF1L,nonECM,No,NULL,NULL,0.853030303
Q9UQB3,CTNND2,nonECM,No,NULL,NULL,0.590565657
P13861,PRKAR2A,nonECM,No,NULL,NULL,0.712868687
P16070,CD44,ECM,No,NULL,NULL,0.502787879
Q12792,TWF1,nonECM,No,NULL,NULL,0.785151515
P82279,CRB1,ECM,No,NULL,NULL,0.97040404
O14817,TSPAN4,nonECM,No,NULL,NULL,0.547414141
P50395,GDI2,nonECM,No,NULL,NULL,0.768323232
P13796,LCP1,nonECM,No,NULL,NULL,0.867575758
P36873,PPP1CC,nonECM,No,NULL,NULL,0.778989899
Q6UX15,LAYN,ECM,No,NULL,NULL,0.636222222
O94941,UBOX5,nonECM,No,NULL,NULL,0.56440404
Q8TEY7,USP33,nonECM,No,NULL,NULL,0.692747475
Q8TEW8,PARD3B,ECM,No,NULL,NULL,0.54169697
Q8TEW0,PARD3,nonECM,No,NULL,NULL,0.639292929
P63173,RPL38,nonECM,No,NULL,NULL,0.764141414
Q86YV5,PRAG1,nonECM,No,NULL,NULL,0.68220202
Q92817,EVPL,nonECM,No,NULL,NULL,0.938808081
P63104,YWHAZ,nonECM,No,NULL,NULL,0.810585859
O96013,PAK4,nonECM,No,NULL,NULL,0.683030303
P61981,YWHAG,nonECM,No,NULL,NULL,0.824727273
Q15262,PTPRK,ECM,No,NULL,NULL,0.816949495
Q15223,NECTIN1,ECM,No,NULL,NULL,0.726323232
O94875,SORBS2,nonECM,No,NULL,NULL,0.662161616
O14514,ADGRB1,ECM,No,NULL,NULL,0.856343434
P13498,CYBA,ECM,No,NULL,NULL,0.514444444
Q8N8S7,ENAH,nonECM,No,NULL,NULL,0.847575758
P08758,ANXA5,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.843515152
Q8N8R7,ARL14EP,nonECM,No,NULL,NULL,0.723292929
Q9HBI1,PARVB,nonECM,No,NULL,NULL,0.850363636
O14495,PLPP3,nonECM,No,NULL,NULL,0.534848485
P08708,RPS17,nonECM,No,NULL,NULL,0.874484848
P78310,CXADR,ECM,No,NULL,NULL,0.639494949
O00548,DLL1,ECM,No,NULL,NULL,0.938767677
Q9P1Y5,CAMSAP3,nonECM,No,NULL,NULL,0.738646465
P14625,HSP90B1,nonECM,No,NULL,NULL,0.723494949
Q03113,GNA12,nonECM,No,NULL,NULL,0.851979798
Q9P266,JCAD,nonECM,No,NULL,NULL,0.646686869
P28838,LAP3,nonECM,No,NULL,NULL,0.765838384
P14923,JUP,nonECM,No,NULL,NULL,0.696020202
P61769,B2M,ECM,No,NULL,NULL,0.510767677
O00192,ARVCF,nonECM,No,NULL,NULL,0.617050505
P36578,RPL4,nonECM,No,NULL,NULL,0.744606061
O00161,SNAP23,nonECM,No,NULL,NULL,0.826020202
O00151,PDLIM1,ECM,No,NULL,NULL,0.661636364
Q92597,NDRG1,nonECM,No,NULL,NULL,0.59189899
Q05397,PTK2,nonECM,No,NULL,NULL,0.872040404
Q8WVV4,POF1B,nonECM,No,NULL,NULL,0.875555556
P06396,GSN,nonECM,No,NULL,NULL,0.517030303
Q15599,SLC9A3R2,nonECM,No,NULL,NULL,0.684242424
P11021,HSPA5,nonECM,No,NULL,NULL,0.832525253
Q15517,CDSN,ECM,No,NULL,NULL,0.796181818
P06756,ITGAV,ECM,No,NULL,NULL,0.617353535
Q99755,PIP5K1A,nonECM,No,NULL,NULL,0.650989899
Q99959,PKP2,nonECM,No,NULL,NULL,0.531474747
Q8WUP2,FBLIM1,nonECM,No,NULL,NULL,0.58220202
Q05209,PTPN12,nonECM,No,NULL,NULL,0.802888889
Q63HR2,TNS2,nonECM,No,NULL,NULL,0.617030303
P31431,SDC4,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.610808081
Q8WUM4,PDCD6IP,nonECM,No,NULL,NULL,0.845535354
Q13444,ADAM15,ECM,Yes,Matrisome-associated,ECM Regulators,0.956383838
Q13443,ADAM9,ECM,Yes,Matrisome-associated,ECM Regulators,0.976383838
P04216,THY1,nonECM,No,NULL,NULL,0.619636364
Q13425,SNTB2,nonECM,No,NULL,NULL,0.598242424
Q9NZN3,EHD3,nonECM,No,NULL,NULL,0.886868687
Q13418,ILK,nonECM,No,NULL,NULL,0.739313131
Q9BX67,JAM3,ECM,No,NULL,NULL,0.652060606
Q9BX66,SORBS1,nonECM,No,NULL,NULL,0.687212121
P61247,RPS3A,nonECM,No,NULL,NULL,0.770787879
Q03135,CAV1,nonECM,No,NULL,NULL,0.77189899
O15484,CAPN5,ECM,No,NULL,NULL,0.500565657
P56539,CAV3,nonECM,No,NULL,NULL,0.811212121
Q9NYQ8,FAT2,ECM,No,NULL,NULL,0.801292929
Q2M1Z3,ARHGAP31,nonECM,No,NULL,NULL,0.669070707
Q13308,PTK7,ECM,No,NULL,NULL,0.558464646
Q9NYL9,TMOD3,nonECM,No,NULL,NULL,0.773353535
Q96TA1,FAM129B,nonECM,No,NULL,NULL,0.873737374
Q6ZTQ4,CDHR3,ECM,No,NULL,NULL,0.787636364
O15259,NPHP1,nonECM,No,NULL,NULL,0.898666667
Q13153,PAK1,nonECM,No,NULL,NULL,0.783171717
Q13136,PPFIA1,nonECM,No,NULL,NULL,0.911131313
Q9BTW9,TBCD,nonECM,No,NULL,NULL,0.689393939
P29966,MARCKS,nonECM,No,NULL,NULL,0.577272727
Q9Y3B8,REXO2,nonECM,No,NULL,NULL,0.719959596
P08575,PTPRC,ECM,No,NULL,NULL,0.556686869
P61587,RND3,nonECM,No,NULL,NULL,0.631737374
P61586,RHOA,nonECM,No,NULL,NULL,0.698585859
P61513,RPL37A,nonECM,No,NULL,NULL,0.725777778
Q03405,PLAUR,ECM,No,NULL,NULL,0.594
Q13643,FHL3,nonECM,No,NULL,NULL,0.548060606
Q13642,FHL1,nonECM,No,NULL,NULL,0.606888889
Q13634,CDH18,ECM,No,NULL,NULL,0.701959596
Q86TP1,PRUNE1,nonECM,No,NULL,NULL,0.825232323
P46531,NOTCH1,ECM,No,NULL,NULL,0.96430303
Q9BYP7,WNK3,nonECM,No,NULL,NULL,0.885939394
P26038,MSN,nonECM,No,NULL,NULL,0.911737374
P26012,ITGB8,ECM,No,NULL,NULL,0.861777778
P26010,ITGB7,ECM,No,NULL,NULL,0.805111111
P26006,ITGA3,ECM,No,NULL,NULL,0.662464646
Q8IVT2,MISP,nonECM,No,NULL,NULL,0.811515152
Q13884,SNTB1,nonECM,No,NULL,NULL,0.666949495
Q13873,BMPR2,ECM,No,NULL,NULL,0.501292929
P36507,MAP2K2,nonECM,No,NULL,NULL,0.838363636
Q92558,WASF1,nonECM,No,NULL,NULL,0.730888889
Q86W92,PPFIBP1,nonECM,No,NULL,NULL,0.944363636
Q92542,NCSTN,ECM,No,NULL,NULL,0.630848485
Q9HBM0,VEZT,nonECM,No,NULL,NULL,0.747979798
Q9HBL0,TNS1,ECM,No,NULL,NULL,0.546585859
P46782,RPS5,nonECM,No,NULL,NULL,0.858989899
P46777,RPL5,nonECM,No,NULL,NULL,0.846080808
Q9HBA0,TRPV4,nonECM,No,NULL,NULL,0.582343434
P26232,CTNNA2,nonECM,No,NULL,NULL,0.892989899
Q86VF7,NRAP,nonECM,No,NULL,NULL,0.907474747
Q13796,SHROOM2,nonECM,No,NULL,NULL,0.809414141
Q9HAP6,LIN7B,nonECM,No,NULL,NULL,0.708343434
P36404,ARL2,nonECM,No,NULL,NULL,0.853090909
P98082,DAB2,nonECM,No,NULL,NULL,0.783757576
P07948,LYN,nonECM,No,NULL,NULL,0.773939394
P07947,YES1,nonECM,No,NULL,NULL,0.623454545
Q9BPX5,ARPC5L,nonECM,No,NULL,NULL,0.638808081
Q08043,ACTN3,nonECM,No,NULL,NULL,0.928484848
Q9BQ24,ZFYVE21,nonECM,No,NULL,NULL,0.74840404
O60437,PPL,nonECM,No,NULL,NULL,0.955535354
Q14155,ARHGEF7,nonECM,No,NULL,NULL,0.623393939
Q68DA7,FMN1,nonECM,No,NULL,NULL,0.813555556
Q9NYB9,ABI2,nonECM,No,NULL,NULL,0.68220202
P61160,ACTR2,nonECM,No,NULL,NULL,0.775616162
P61158,ACTR3,nonECM,No,NULL,NULL,0.616909091
O14901,KLF11,nonECM,No,NULL,NULL,0.714383838
Q68CZ2,TNS3,ECM,No,NULL,NULL,0.723353535
Q9BVG8,KIFC3,nonECM,No,NULL,NULL,0.869494949
P09619,PDGFRB,ECM,No,NULL,NULL,0.574424242
Q03001,DST,nonECM,No,NULL,NULL,0.952222222
Q702N8,XIRP1,nonECM,No,NULL,NULL,0.704969697
O14974,PPP1R12A,nonECM,No,NULL,NULL,0.688484848
Q13283,G3BP1,nonECM,No,NULL,NULL,0.652383838
P04040,CAT,ECM,No,NULL,NULL,0.599616162
Q08554,DSC1,ECM,No,NULL,NULL,0.764828283
Q96SB3,PPP1R9B,nonECM,No,NULL,NULL,0.777171717
Q9P2Q2,FRMD4A,nonECM,No,NULL,NULL,0.822686869
Q9UKX5,ITGA11,ECM,No,NULL,NULL,0.701131313
P00749,PLAU,ECM,Yes,Matrisome-associated,ECM Regulators,0.836747475
Q9H307,PNN,nonECM,No,NULL,NULL,0.754909091
P15880,RPS2,nonECM,No,NULL,NULL,0.629959596
Q96IF1,AJUBA,ECM,No,NULL,NULL,0.511777778
Q96ID5,IGSF21,ECM,No,NULL,NULL,0.725151515
Q9UL25,RAB21,nonECM,No,NULL,NULL,0.655171717
P22392,NME2,nonECM,No,NULL,NULL,0.695757576
Q9H2D6,TRIOBP,nonECM,No,NULL,NULL,0.568525253
P17661,DES,nonECM,No,NULL,NULL,0.861959596
P22314,UBA1,nonECM,No,NULL,NULL,0.563212121
P17655,CAPN2,nonECM,No,NULL,NULL,0.541191919
Q9UKB5,AJAP1,ECM,No,NULL,NULL,0.632909091
Q15438,CYTH1,nonECM,No,NULL,NULL,0.813313131
Q15417,CNN3,nonECM,No,NULL,NULL,0.73240404
Q15404,RSU1,ECM,No,NULL,NULL,0.616646465
O00560,SDCBP,nonECM,No,NULL,NULL,0.537070707
Q8IZW8,TNS4,ECM,No,NULL,NULL,0.522585859
Q92974,ARHGEF2,nonECM,No,NULL,NULL,0.897070707
P63261,ACTG1,nonECM,No,NULL,NULL,0.844444444
Q7L0Q8,RHOU,ECM,No,NULL,NULL,0.521313131
Q8WU20,FRS2,nonECM,No,NULL,NULL,0.545555556
P05388,RPLP0,nonECM,No,NULL,NULL,0.818181818
P22607,FGFR3,ECM,No,NULL,NULL,0.517979798
P17948,FLT1,ECM,No,NULL,NULL,0.604262626
P29317,EPHA2,ECM,No,NULL,NULL,0.658828283
Q9UNA1,ARHGAP26,nonECM,No,NULL,NULL,0.867555556
Q96KR4,LMLN,ECM,No,NULL,NULL,0.631252525
Q9NQ75,CASS4,nonECM,No,NULL,NULL,0.54840404
P84098,RPL19,nonECM,No,NULL,NULL,0.856767677
Q9UMS6,SYNPO2,nonECM,No,NULL,NULL,0.818282828
Q16832,DDR2,ECM,No,NULL,NULL,0.746505051
Q93052,LPP,nonECM,No,NULL,NULL,0.502626263
P49757,NUMB,nonECM,No,NULL,NULL,0.831111111
Q99618,CDCA3,nonECM,No,NULL,NULL,0.618707071
Q99653,CHP1,nonECM,No,NULL,NULL,0.886484848
P43121,MCAM,ECM,No,NULL,NULL,0.718868687
P11233,RALA,nonECM,No,NULL,NULL,0.749292929
Q8WXH0,SYNE2,nonECM,No,NULL,NULL,0.936686869
P62273,RPS29,nonECM,No,NULL,NULL,0.612040404
P21439,ABCB4,nonECM,No,NULL,NULL,0.552808081
P24821,TNC,ECM,Yes,Core matrisome,ECM Glycoproteins,0.987131313
P78344,EIF4G2,nonECM,No,NULL,NULL,0.758848485
Q9P035,HACD3,nonECM,No,NULL,NULL,0.772505051
Q86SJ6,DSG4,ECM,No,NULL,NULL,0.685292929
P61353,RPL27,nonECM,No,NULL,NULL,0.565959596
P68032,ACTC1,nonECM,No,NULL,NULL,0.821272727
Q2M3G4,SHROOM1,nonECM,No,NULL,NULL,0.726525253
Q8TDY4,ASAP3,nonECM,No,NULL,NULL,0.81020202
Q6UVK1,CSPG4,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.914222222
Q92730,RND1,nonECM,No,NULL,NULL,0.697272727
Q674X7,KAZN,nonECM,No,NULL,NULL,0.899272727
P51636,CAV2,nonECM,No,NULL,NULL,0.763252525
P31151,S100A7,ECM,Yes,Matrisome-associated,Secreted Factors,0.828828283
P63000,RAC1,nonECM,No,NULL,NULL,0.650161616
Q8TDM6,DLG5,nonECM,No,NULL,NULL,0.884585859
P46940,IQGAP1,nonECM,No,NULL,NULL,0.928060606
Q8N157,AHI1,nonECM,No,NULL,NULL,0.739474747
Q15149,PLEC,nonECM,No,NULL,NULL,0.921818182
Q15124,PGM5,ECM,No,NULL,NULL,0.578909091
O15145,ARPC3,nonECM,No,NULL,NULL,0.707050505
O15144,ARPC2,nonECM,No,NULL,NULL,0.694141414
O15143,ARPC1B,nonECM,No,NULL,NULL,0.560606061
O15105,SMAD7,nonECM,No,NULL,NULL,0.711131313
Q13045,FLII,ECM,No,NULL,NULL,0.540969697
P19634,SLC9A1,nonECM,No,NULL,NULL,0.564484848
Q9BT92,TCHP,nonECM,No,NULL,NULL,0.795090909
Q96QB1,DLC1,nonECM,No,NULL,NULL,0.915838384
Q6WCQ1,MPRIP,nonECM,No,NULL,NULL,0.878464646
Q9NVD7,PARVA,nonECM,No,NULL,NULL,0.853494949
Q9BSN7,TMEM204,nonECM,No,NULL,NULL,0.651555556
P60709,ACTB,nonECM,No,NULL,NULL,0.810141414
P56199,ITGA1,ECM,No,NULL,NULL,0.805232323
O60711,LPXN,nonECM,No,NULL,NULL,0.649656566
Q5T2T1,MPP7,nonECM,No,NULL,NULL,0.582161616
P11142,HSPA8,nonECM,No,NULL,NULL,0.822646465
Q8WWI1,LMO7,nonECM,No,NULL,NULL,0.936363636
Q15654,TRIP6,ECM,No,NULL,NULL,0.523393939
Q155Q3,DIXDC1,nonECM,No,NULL,NULL,0.890222222
P21333,FLNA,ECM,No,NULL,NULL,0.612020202
Q96RW7,HMCN1,ECM,Yes,Core matrisome,ECM Glycoproteins,0.921636364
Q9Y483,MTF2,nonECM,No,NULL,NULL,0.820424242
Q9Y446,PKP3,nonECM,No,NULL,NULL,0.70159596
Q96FX8,PERP,nonECM,No,NULL,NULL,0.588868687
Q96B97,SH3KBP1,nonECM,No,NULL,NULL,0.592020202
P05556,ITGB1,ECM,No,NULL,NULL,0.786767677
P0DMV9,HSPA1B,nonECM,No,NULL,NULL,0.820727273
Q96AP7,ESAM,ECM,No,NULL,NULL,0.764727273
Q9Y2X7,GIT1,nonECM,No,NULL,NULL,0.72610101
Q96AC1,FERMT2,nonECM,No,NULL,NULL,0.850909091
P62424,RPL7A,nonECM,No,NULL,NULL,0.793010101
Q9UHP9,SMPX,nonECM,No,NULL,NULL,0.693717172
Q14451,GRB7,nonECM,No,NULL,NULL,0.587434343
Q9ULL8,SHROOM4,nonECM,No,NULL,NULL,0.625919192
Q9H3Q1,CDC42EP4,nonECM,No,NULL,NULL,0.761010101
Q9ULV4,CORO1C,nonECM,No,NULL,NULL,0.563757576
P62280,RPS11,nonECM,No,NULL,NULL,0.681818182
P62277,RPS13,nonECM,No,NULL,NULL,0.722242424
P62269,RPS18,nonECM,No,NULL,NULL,0.785818182
P62263,RPS14,nonECM,No,NULL,NULL,0.693454545
P62258,YWHAE,nonECM,No,NULL,NULL,0.814646465
P62249,RPS16,nonECM,No,NULL,NULL,0.633232323
P62241,RPS8,nonECM,No,NULL,NULL,0.781959596
O14672,ADAM10,ECM,Yes,Matrisome-associated,ECM Regulators,0.94979798
P35268,RPL22,nonECM,No,NULL,NULL,0.682707071
O14662,STX16,nonECM,No,NULL,NULL,0.72779798
P35241,RDX,nonECM,No,NULL,NULL,0.930363636
P35240,NF2,nonECM,No,NULL,NULL,0.875818182
P35222,CTNNB1,nonECM,No,NULL,NULL,0.774646465
P35221,CTNNA1,nonECM,No,NULL,NULL,0.852686869
A6NIX2,WTIP,ECM,No,NULL,NULL,0.520787879
Q96QZ7,MAGI1,nonECM,No,NULL,NULL,0.547979798
Q02241,KIF23,nonECM,No,NULL,NULL,0.895333333
Q9Y490,TLN1,nonECM,No,NULL,NULL,0.745515152
P50552,VASP,ECM,No,NULL,NULL,0.578626263
Q9H792,PEAK1,nonECM,No,NULL,NULL,0.822929293
Q96N67,DOCK7,nonECM,No,NULL,NULL,0.748505051
P30050,RPL12,nonECM,No,NULL,NULL,0.699010101
P13987,CD59,ECM,No,NULL,NULL,0.582585859
P35579,MYH9,nonECM,No,NULL,NULL,0.954666667
O14976,GAK,nonECM,No,NULL,NULL,0.685171717
O15061,SYNM,nonECM,No,NULL,NULL,0.881858586
P12830,CDH1,ECM,No,NULL,NULL,0.776929293
P12814,ACTN1,nonECM,No,NULL,NULL,0.930707071
Q9NUP9,LIN7C,nonECM,No,NULL,NULL,0.676767677
Q5SQI0,ATAT1,nonECM,No,NULL,NULL,0.513535354
Q01518,CAP1,nonECM,No,NULL,NULL,0.715292929
Q6T4R5,NHS,nonECM,No,NULL,NULL,0.681858586
Q8WX93,PALLD,ECM,No,NULL,NULL,0.649818182
Q15366,PCBP2,nonECM,No,NULL,NULL,0.567717172
P48059,LIMS1,nonECM,No,NULL,NULL,0.604444444
P04792,HSPB1,nonECM,No,NULL,NULL,0.646787879
Q92692,NECTIN2,ECM,No,NULL,NULL,0.698747475
P16144,ITGB4,ECM,No,NULL,NULL,0.913050505
P23229,ITGA6,ECM,No,NULL,NULL,0.725414141
O15530,PDPK1,nonECM,No,NULL,NULL,0.713535354
Q9NZU1,FLRT1,ECM,No,NULL,NULL,0.738343434
Q9NZU0,FLRT3,ECM,No,NULL,NULL,0.778929293
P38646,HSPA9,nonECM,No,NULL,NULL,0.818040404
P51911,CNN1,nonECM,No,NULL,NULL,0.833878788
Q96C12,ARMC5,nonECM,No,NULL,NULL,0.514848485
P06748,NPM1,nonECM,No,NULL,NULL,0.672141414
P18124,RPL7,nonECM,No,NULL,NULL,0.794141414
Q15942,ZYX,nonECM,No,NULL,NULL,0.540626263
P21291,CSRP1,nonECM,No,NULL,NULL,0.511515152
O43491,EPB41L2,nonECM,No,NULL,NULL,0.881616162
P11717,IGF2R,ECM,No,NULL,NULL,0.692383838
Q13835,PKP1,nonECM,No,NULL,NULL,0.707959596
P14209,CD99,ECM,No,NULL,NULL,0.573818182
P08514,ITGA2B,ECM,No,NULL,NULL,0.679515152
P78536,ADAM17,ECM,Yes,Matrisome-associated,ECM Regulators,0.781434343
P26196,DDX6,nonECM,No,NULL,NULL,0.836
Q86UP0,CDH24,ECM,No,NULL,NULL,0.76969697
O75122,CLASP2,nonECM,No,NULL,NULL,0.81020202
O75955,FLOT1,nonECM,No,NULL,NULL,0.820323232
Q96BN2,TADA1,nonECM,No,NULL,NULL,0.707656566
Q9UDY2,TJP2,nonECM,No,NULL,NULL,0.654727273
P30559,OXTR,nonECM,No,NULL,NULL,0.544060606
P84095,RHOG,nonECM,No,NULL,NULL,0.563333333
P05387,RPLP2,nonECM,No,NULL,NULL,0.607656566
P05386,RPLP1,nonECM,No,NULL,NULL,0.608969697
P84077,ARF1,nonECM,No,NULL,NULL,0.823616162
Q14574,DSC3,ECM,No,NULL,NULL,0.731717172
Q14517,FAT1,ECM,No,NULL,NULL,0.804060606
Q14511,NEDD9,nonECM,No,NULL,NULL,0.606
P67936,TPM4,nonECM,No,NULL,NULL,0.808787879
P15529,CD46,ECM,No,NULL,NULL,0.829717172
P62330,ARF6,nonECM,No,NULL,NULL,0.714343434
O95297,MPZL1,ECM,No,NULL,NULL,0.651616162
Q9NPH5,NOX4,nonECM,No,NULL,NULL,0.576080808
Q14344,GNA13,nonECM,No,NULL,NULL,0.80430303
Q02952,AKAP12,nonECM,No,NULL,NULL,0.779717172
Q14332,FZD2,nonECM,No,NULL,NULL,0.554606061
Q09666,AHNAK,nonECM,No,NULL,NULL,0.605010101
P05107,ITGB2,ECM,No,NULL,NULL,0.823454545
Q14315,FLNC,ECM,No,NULL,NULL,0.524565657
P15311,EZR,nonECM,No,NULL,NULL,0.907959596
P62140,PPP1CB,nonECM,No,NULL,NULL,0.678141414
P62136,PPP1CA,nonECM,No,NULL,NULL,0.683090909
